icpsr_project_id,repo_doi,openicpsr_url,paper_title,journal,year
114053,10.3886/e114053v1,https://www.openicpsr.org/openicpsr/project/114053/version/V1/view,"Interest Rates, Leverage, and Business Cycles in Emerging Economies: The Role of Financial Frictions",American Economic Journal Macroeconomics,2015
113607,10.3886/e113607v1,https://www.openicpsr.org/openicpsr/project/113607/version/V1/view,Immigrants Equilibrate Local Labor Markets: Evidence from the Great Recession,American Economic Journal Applied Economics,2015
113606,10.3886/e113606v1,https://www.openicpsr.org/openicpsr/project/113606/version/V1/view,The Contribution of the Minimum Wage to US Wage Inequality over Three Decades: A Reassessment,American Economic Journal Applied Economics,2015
113603,10.3886/e113603v1,https://www.openicpsr.org/openicpsr/project/113603/version/V1/view,Legal Status and the Criminal Activity of Immigrants,American Economic Journal Applied Economics,2015
113596,10.3886/e113596v1,https://www.openicpsr.org/openicpsr/project/113596/version/V1/view,The Consequences of Teenage Childbearing before Roe v. Wade,American Economic Journal Applied Economics,2015
113590,10.3886/e113590v1,https://www.openicpsr.org/openicpsr/project/113590/version/V1/view,The Effect of Product Demand on Inequality: Evidence from the United States and the United Kingdom,American Economic Journal Applied Economics,2015
113584,10.3886/e113584v1,https://www.openicpsr.org/openicpsr/project/113584/version/V1/view,"Should Cash Transfers Be Conditional? Conditionality, Preventive Care, and Health Outcomes",American Economic Journal Applied Economics,2015
112986,10.3886/e112986v1,https://www.openicpsr.org/openicpsr/project/112986/version/V1/view,"Technical Change, Wage Inequality, and Taxes",American Economic Review,2015
112973,10.3886/e112973v1,https://www.openicpsr.org/openicpsr/project/112973/version/V1/view,The Housing Market Impacts of Shale Gas Development,American Economic Review,2015
112972,10.3886/e112972v1,https://www.openicpsr.org/openicpsr/project/112972/version/V1/view,State Capacity and Economic Development: A Network Approach,American Economic Review,2015
112970,10.3886/e112970v1,https://www.openicpsr.org/openicpsr/project/112970/version/V1/view,Media Influences on Social Outcomes: The Impact of MTV’s <i>16 and Pregnant</i> on Teen Childbearing,American Economic Review,2015
112964,10.3886/e112964v1,https://www.openicpsr.org/openicpsr/project/112964/version/V1/view,Evaluating Behaviorally Motivated Policy: Experimental Evidence from the Lightbulb Market,American Economic Review,2015
112963,10.3886/e112963v1,https://www.openicpsr.org/openicpsr/project/112963/version/V1/view,Are Sticky Prices Costly? Evidence from the Stock Market,American Economic Review,2015
